shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9SH,19.31794716696897,-99.1389102620902,269
9SH,19.313798626961283,-99.14031528185906,270
9SH,19.300512231689094,-99.14862244327837,271
9SH,19.298178457445353,-99.15122350752777,272
9SH,19.300243440825316,-99.14824325858574,273
9SH,19.300857988203887,-99.14673846919442,274
9SH,19.29804584070962,-99.13894247249446,275
9SH,19.29794532020945,-99.13871433005372,276
9SH,19.29777665187163,-99.13824591855655,277
9SH,19.295257209629106,-99.13179452626954,278
9SH,19.29319762012153,-99.1267679004768,279
9SH,19.292930976135917,-99.12611272834488,280
9SH,19.291950411078997,-99.12347494205908,281
9SH,19.29175069247542,-99.12303056450793,282
10SH,19.4250261,-99.1331713,283
10SH,19.4178711,-99.1343558,284
10SH,19.411125854492067,-99.13541721496638,285
10SH,19.39249552245529,-99.13835339259228,286
10SH,19.37776794325837,-99.14059724317808,287
10SH,19.37545850334338,-99.140890618259,288
10SH,19.373886653952628,-99.14112321369495,289
10SH,19.364630054025923,-99.14262749922493,290
10SH,19.362281303482465,-99.14297890697267,291
10SH,19.36028047456949,-99.14333928867362,292
10SH,19.336485787239592,-99.14221144704513,293
10SH,19.309655397967067,-99.14164650688478,294
10SH,19.309145612479924,-99.14193458942627,295
10SH,19.296035143931014,-99.15233210853185,296
10SH,19.291766857113437,-99.15051172063376,297
10SH,19.282133132731595,-99.13910822723638,298
10SH,19.279310588465446,-99.13504181811902,299
10SH,19.279205518557685,-99.13485836342812,300
10SH,19.272424945344948,-99.13164897830394,301
10SH,19.271062386111648,-99.13039547672773,302
10SH,19.270621842257178,-99.12994699085527,303
10SH,19.269612670875222,-99.12891963966034,304
10SH,19.268363470572755,-99.12646483113441,305
10SH,19.26807832894242,-99.12515774918565,306
10SH,19.2644813626107,-99.10811483906541,307
10SH,19.262865002075912,-99.10741996821004,308
10SH,19.25999174775586,-99.10559076492711,309
11SH,19.650762830769064,-99.20568309481402,310
11SH,19.643437955846398,-99.20494551878298,311
11SH,19.640085731091563,-99.21127119597219,312
11SH,19.644202099999998,-99.19802240000001,313
11SH,19.632886108281166,-99.19408152796784,314
11SH,19.6174551560671,-99.19147581189934,315
11SH,19.617417177474604,-99.19152745405042,316
11SH,19.616997937685205,-99.19140258372556,317
11SH,19.606933903017197,-99.18970582208821,318
11SH,19.576932479331422,-99.20791757406366,319
11SH,19.5758434808345,-99.20832472047518,320
11SH,19.57342503390899,-99.20831416591354,321
11SH,19.522957237332058,-99.16850314391449,322
11SH,19.51906058900332,-99.16360579956996,323
11SH,19.49973972164721,-99.1559105626146,324
11SH,19.492517156215225,-99.15452476880286,325
11SH,19.494888321103577,-99.15392216893756,326
11SH,19.50039274869472,-99.15159515138664,327
12SH,19.407501362247004,-99.18946735488362,328
12SH,19.407721825550052,-99.18868074491519,329
12SH,19.407748847779978,-99.18771172723196,330
12SH,19.407859112476064,-99.18463663849263,331
12SH,19.409314951513117,-99.18337824291494,332
12SH,19.416589411946312,-99.17895844937335,333
12SH,19.416589411946312,-99.17895844937335,334
12SH,19.416607901687744,-99.17894786923382,335
12SH,19.418946297442382,-99.17767207845479,336
12SH,19.418946297442382,-99.17767207845479,337
12SH,19.418946297442382,-99.17767207845479,338
12SH,19.430878254110382,-99.17282522530472,339
12SH,19.432820430070624,-99.17164679400649,340
12SH,19.433072438077872,-99.17149102585559,341
12SH,19.433264248561425,-99.17137188910318,342
12SH,19.43454772809589,-99.17055121493412,343
12SH,19.435510644891046,-99.16990625231048,344
12SH,19.438742548150127,-99.1679889795944,345
12SH,19.44313659425394,-99.165801106299,346
12SH,19.444473847907034,-99.16534274756268,347
12SH,19.44963311090517,-99.16416558967255,348
12SH,19.458122383972032,-99.16309597161735,349
12SH,19.463170494571564,-99.15378921760207,350
12SH,19.462881174528892,-99.15159441635522,351
12SH,19.465030040934572,-99.13877721295367,352
12SH,19.464996929227617,-99.13794075215282,353
12SH,19.464996929227617,-99.13794075215282,354
12SH,19.460847441804386,-99.12607697589557,355
12SH,19.45946402570525,-99.12187085809994,356
12SH,19.458968327265815,-99.12035956220993,357
12SH,19.458492200598883,-99.11890942401591,358
12SH,19.452741437825942,-99.1095165840746,359
12SH,19.452741437825942,-99.1095165840746,360
12SH,19.452195304879442,-99.10804273132338,361
12SH,19.4518092,-99.1069569,362
12SH,19.450977082097538,-99.09661093427714,363
12SH,19.44621202473422,-99.08757541549488,364
12SH,19.44279229590597,-99.08596511610709,365
12SH,19.442740026176327,-99.08593956675885,366
12SH,19.427473449986145,-99.09232128304062,367
12SH,19.426806796294294,-99.09269404400557,368
13SH,19.49406852563668,-99.07886637001191,369
13SH,19.49406852563668,-99.07886637001191,370
13SH,19.494092505237553,-99.07888936782507,371
13SH,19.494227138797456,-99.07879323150783,372
13SH,19.497394608810804,-99.07652736658787,373
13SH,19.501046016574893,-99.07391130363531,374
13SH,19.5016601,-99.0734765,375
13SH,19.50186353171417,-99.07334713365304,376
13SH,19.5134889705515,-99.06540292951603,377
13SH,19.51607208095381,-99.06303523846498,378
13SH,19.516391442586,-99.0627439540965,379
13SH,19.519213690624706,-99.060151659608,380
13SH,19.51950307264657,-99.05989246771915,381
13SH,19.540182981274285,-99.04074780003289,382
13SH,19.54834122521476,-99.03322528243126,383
13SH,19.552790792365034,-99.02916871252084,384
13SH,19.55500110828275,-99.0271288333584,385
13SH,19.55550038239536,-99.02667147449102,386
13SH,19.555779020749476,-99.0264152825167,387
13SH,19.55589732624221,-99.02630650703804,388
